"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:SECRET_POLICE_FINAL","Inspector.","移民官。"
"traveler:SECRET_POLICE_FINAL","It has been some time.","It has been some time."
"traveler:SECRET_POLICE_FINAL","Read your bulletin carefully today.","Read your 告示板 carefully today."
"traveler:SECRET_POLICE_FINAL","We will be speaking with many workers.","We will be speaking with many workers."
"traveler:SECRET_POLICE_FINAL","Your audit comes soon.","Your audit comes soon."
"traveler:SECRET_POLICE_FINAL","I will personally conduct it.","I will personally conduct it."
"traveler:SECRET_POLICE_FINAL","There is nothing to fear.","There is nothing to fear."
"traveler:SECRET_POLICE_FINAL","Work hard.","Work hard."
"traveler:JORJI_BASE","All right! You the best!","All right! You the best!"
"traveler:JORJI_BASE","Arstotzka the best!","Arstotzka the best!"
"traveler:JORJI_BASE","Here, take this!","Here, take this!"
"traveler:JORJI0","Ok! Here we go!","Ok! Here we go!"
"traveler:JORJI0","Glory to Arstotzka!","Arstotzka萬歲。"
"traveler:JORJI0","The greatest country!","The greatest country!"
"traveler:JORJI0","@Where is your passport?","@Where is your passport?"
"traveler:JORJI0","Passport!","Passport!"
"traveler:JORJI0","Arstotzka so great, passport not required.","Arstotzka so great, passport not required."
"traveler:JORJI0","Right?","Right?"
"traveler:JORJI0","@A passport is required.","@A passport is required."
"traveler:JORJI0","Ok, ok. I hear you.","Ok, ok. I hear you."
"traveler:JORJI0","I come back again.","I come back again."
"traveler:JORJI1","Ok! Hello again!","Ok! Hello again!"
"traveler:JORJI1","Now I have passport!","Now I have passport!"
"traveler:JORJI1","Arstotzka still best country for sure!","Arstotzka still best country for sure!"
"traveler:JORJI1","@This passport is crude fake.","@This passport is crude fake."
"traveler:JORJI1","Hey now! Is not true!","Hey now! Is not true!"
"traveler:JORJI1","Is pre-approved!","Is pre-approved!"
"traveler:JORJI1","@ Cobrastan is not a real country.","@ Cobrastan is not a real country."
"traveler:JORJI1","Ok, ok.","Ok, ok."
"traveler:JORJI1","You no like passport, I understand.","You no like passport, I understand."
"traveler:JORJI1","I come back again with better one.","I come back again with better one."
"traveler:JORJI2","Old friend hello!","Old friend hello!"
"traveler:JORJI2","I am back again!","I am back again!"
"traveler:JORJI2","This time everything set.","This time everything set."
"traveler:JORJI2","@You are missing an entry permit.","@You are missing an entry permit."
"traveler:JORJI2","Oh man you funny guy!","Oh man you funny guy!"
"traveler:JORJI2","@An entry permit is required.","@An entry permit is required."
"traveler:JORJI2","Wow, you run very strict border here.","Wow, you run very strict border here."
"traveler:JORJI2","That is good. Do job right.","That is good. Do job right."
"traveler:JORJI2","I look for entry thing and come back.","I look for entry thing and come back."
"traveler:JORJI3","Hey it is me!","Hey it is me!"
"traveler:JORJI3","Are you happy to see?","Are you happy to see?"
"traveler:JORJI3","I have everything you ask for now.","I have everything you ask for now."
"traveler:JORJI3","@Tickets are no longer accepted.","@Tickets are no longer accepted."
"traveler:JORJI3","Hey no!","Hey no!"
"traveler:JORJI3","Guy sold me ticket. Say is good!","Guy sold me ticket. Say is good!"
"traveler:JORJI3","You check again maybe.","You check again maybe."
"traveler:JORJI3","@Do not come back again.","@Do not come back again."
"traveler:JORJI3","Haha!","Haha!"
"traveler:JORJI3","You nice guy but I have business in Arstotzka.","You nice guy but I have business in Arstotzka."
"traveler:JORJI3","I get right papers and come see you.","I get right papers and come see you."
"traveler:JORJI4","Hello my guy!","Hello my guy!"
"traveler:JORJI4","Ok. Today is day!","Ok. Today is day!"
"traveler:JORJI4","Look at all good papers.","Look at all good papers."
"traveler:JORJI4","Was not easy.","Was not easy."
"traveler:JORJI4","Or cheap! Haha!","Or cheap! Haha!"
"traveler:JORJI4","@I told you not to come back.","@I told you not to come back."
"traveler:JORJI4","This is crap.","This is crap."
"traveler:JORJI4","You know what? Forget it.","You know what? Forget it."
"traveler:JORJI4","Arstotzka worst country.","Arstotzka worst country."
"traveler:JORJI4","You worst person.","You worst person."
"traveler:JORJI4","Thank you so much!","Thank you so much!"
"traveler:JORJI4","If I am honest to you, I was little nervous.","If I am honest to you, I was little nervous."
"traveler:JORJI4","Even with right papers is hard to say.","Even with right papers is hard to say."
"traveler:JORJI4","Ok bye!","Ok bye!"
"traveler:JORJI_SMUGGLE0","Again I am here!","Again I am here!"
"traveler:JORJI_SMUGGLE0","Everything all set up now.","Everything all set up now."
"traveler:JORJI_SMUGGLE0","I come through often to see you.","I come through often to see you."
"traveler:JORJI_SMUGGLE0","We become good friends!","We become good friends!"
"traveler:JORJI_SMUGGLE0","@Your weight is different.","@Your weight is different."
"traveler:JORJI_SMUGGLE0","Is sad story.","Is sad story."
"traveler:JORJI_SMUGGLE0","My wife very bad cook.","My wife very bad cook."
"traveler:JORJI_SMUGGLE0","But if I do not eat, she get angry.","But if I do not eat, she get angry."
"traveler:JORJI_SMUGGLE0","Uh oh, maybe you not like this!","Uh oh, maybe you not like this!"
"traveler:JORJI_SMUGGLE0","@What is this?","@What is this?"
"traveler:JORJI_SMUGGLE0","Is drugs!","Is drugs!"
"traveler:JORJI_SMUGGLE0","I have little side business here.","I have little side business here."
"traveler:JORJI_SMUGGLE0","You let me through and I give you something something.","You let me through and I give you something something."
"traveler:JORJI_SMUGGLE0","@Something what?","@Something what?"
"traveler:JORJI_SMUGGLE0","Ten credits.","Ten credits."
"traveler:JORJI_SMUGGLE0","I give you ten credits for just little stamp.","I give you ten credits for just little stamp."
"traveler:JORJI_SMUGGLE0","@Wait here Jorji.","@Wait here Jorji."
"traveler:JORJI_SMUGGLE0","Is ok, I understand.","Is ok, I understand."
"traveler:JORJI_SMUGGLE0","Drugs are bad. Not good for kids.","Drugs are bad. Not good for kids."
"traveler:JORJI_SMUGGLE0","You do great work here still.","You do great work here still."
"traveler:JORJI_SMUGGLE0","Ok!","Ok!"
"traveler:JORJI_SMUGGLE0","We go full speed!","We go full speed!"
"traveler:JORJI_SMUGGLE0","Hey what is problem?","Hey what is problem?"
"traveler:JORJI_SMUGGLE0","@I do not trust you.","@I do not trust you."
"traveler:JORJI_SMUGGLE0","Ok, ok.","Ok, ok."
"traveler:JORJI_SMUGGLE0","You good guy so I win trust next time.","You good guy so I win trust next time."
"traveler:JORJI_SMUGGLE1","Ok, I am back!","Ok, I am back!"
"traveler:JORJI_SMUGGLE1","Same procedure!","Same procedure!"
"traveler:JORJI_SMUGGLE1","They told me this hard business.","They told me this hard business."
"traveler:JORJI_SMUGGLE1","So far everything smooth like ice!","So far everything smooth like ice!"
"traveler:JORJI_SMUGGLE1","Thanks to you!","Thanks to you!"
"traveler:JORJI_SMUGGLE1","Buy something happy for wife.","Buy something happy for wife."
"traveler:JORJI_SMUGGLE1","Phew!","Phew!"
"traveler:JORJI_SMUGGLE1","Was tough one. Lucky for me, guard was easy.","Was tough one. Lucky for me, guard was easy."
"traveler:JORJI_SMUGGLE1","He asks for big money but is reasonable man.","He asks for big money but is reasonable man."
"traveler:JORJI_SMUGGLE1","Oh man, again!","Oh man, again!"
"traveler:JORJI_SMUGGLE1","That guard have another good day.","That guard have another good day."
"traveler:JORJI_SMUGGLE1","Not sure I keep this up with no sales!","Not sure I keep this up with no sales!"
"traveler:JORJI_SMUGGLE1","Ok, we try again!","Ok, we try again!"
"traveler:JORJI_SMUGGLE1","Sorry to bother you, but this my only job.","Sorry to bother you, but this my only job."
"traveler:JORJI_SMUGGLE1","@Wait here, Jorji.","@Wait here, Jorji."
"traveler:JORJI_SMUGGLE1","Is ok, I understand.","Is ok, I understand."
"traveler:JORJI_SMUGGLE1","Drugs are bad. Not good for kids.","Drugs are bad. Not good for kids."
"traveler:JORJI_SMUGGLE1","You do great work here still.","You do great work here still."
"traveler:JORJI_SMUGGLE1","@I see a difference here.","@I see a difference here."
"traveler:JORJI_SMUGGLE1","Is real mystery for sure.","Is real mystery for sure."
"traveler:JORJI_SMUGGLE1","Maybe things get too sexy in here.","Maybe things get too sexy in here."
"traveler:JORJI_SMUGGLE1","@Drugs?","@Drugs?"
"traveler:JORJI_SMUGGLE1","Looks like good stuff right?","Looks like good stuff right?"
"traveler:JORJI_SMUGGLE1","Wait! I give you 10 credits for ok stamp!","Wait! I give you 10 credits for ok stamp!"
"traveler:JORJI_SMUGGLE1","Think about family!","Think about family!"
"traveler:JORJI_SMUGGLE1","They can buy many happy things with these credits.","They can buy many happy things with these credits."
"traveler:JORJI_SMUGGLE1","Just for little harmless drugs!","Just for little harmless drugs!"
"traveler:JORJI_SMUGGLE1","This much better, see?","This much better, see?"
"traveler:JORJI_SMUGGLE1","Wow, you really stand-up guy.","Wow, you really stand-up guy."
"traveler:JORJI_SMUGGLE1","Maybe is not so good for me when I think about.","Maybe is not so good for me when I think about."
"traveler:JORJI_CRIMINAL","Is good to see you again!","Is good to see you again!"
"traveler:JORJI_CRIMINAL","Today I come just for short visit.","Today I come just for short visit."
"traveler:JORJI_CRIMINAL","Everything is definitely ok with me.","Everything is definitely ok with me."
"traveler:JORJI_CRIMINAL","For sure I am not in criminal bulletin or anything!","For sure I am not in criminal 告示板 or anything!"
"traveler:JORJI_CRIMINAL","@Your face is in wanted bulletin.","@Your face is in wanted 告示板."
"traveler:JORJI_CRIMINAL","What! I pay police like crazy!","What! I pay police like crazy!"
"traveler:JORJI_CRIMINAL","They promise no bulletin. All clear they say.","They promise no 告示板. All clear they say."
"traveler:JORJI_CRIMINAL","I think twice about trusting friendly people.","I think twice about trusting friendly people."
"traveler:JORJI_CRIMINAL","Hey I really like you.","Hey I really like you."
"traveler:JORJI_CRIMINAL","I know is risky to help me like this.","I know is risky to help me like this."
"traveler:JORJI_CRIMINAL","I try to make it up for you.","I try to make it up for you."
"traveler:JORJI_CRIMINAL","Ah, is ok.","Ah, is ok."
"traveler:JORJI_CRIMINAL","At least you do not arrest me.","At least you do not arrest me."
"traveler:JORJI_CRIMINAL","Thanks anyways.","Thanks anyways."
"traveler:JORJI_CRIMINAL","@Sorry Jorji.","@Sorry Jorji."
"traveler:JORJI_CRIMINAL","Ah, is ok. Most police know me now.","Ah, is ok. Most police know me now."
"traveler:JORJI_CRIMINAL","I have little talk with them again.","I have little talk with them again."
"traveler:JORJI_CRIMINAL","Anyway, you have tough job.","Anyway, you have tough job."
"traveler:JORJI_CRIMINAL","I rather sell drugs!","I rather sell drugs!"
"traveler:JORJI_PASSPORTS","I read newspaper.","I read newspaper."
"traveler:JORJI_PASSPORTS","@Hello Jorji.","@Hello Jorji."
"traveler:JORJI_PASSPORTS","Things getting little crazy in Arstotzka.","Things getting little crazy in Arstotzka."
"traveler:JORJI_PASSPORTS","Maybe you think about going away for a bit.","Maybe you think about going away for a bit."
"traveler:JORJI_PASSPORTS","Obristan is good place.","Obristan is good place."
"traveler:JORJI_PASSPORTS","Right next door up north.","Right next door up north."
"traveler:JORJI_PASSPORTS","@Our passports have been confiscated.","@Our passports have been confiscated."
"traveler:JORJI_PASSPORTS","@We cannot leave.","@We cannot leave."
"traveler:JORJI_PASSPORTS","Hey that not good sign.","Hey that not good sign."
"traveler:JORJI_PASSPORTS","Hold on.","Hold on."
"traveler:JORJI_PASSPORTS","I know a guy.","I know a guy."
"traveler:JORJI_PASSPORTS","Just give him real passports to work with.","Just give him real passports to work with."
"traveler:JORJI_PASSPORTS","He changes info to match for you.","He changes info to match for you."
"traveler:JORJI_PASSPORTS","I learn that in hard way.","I learn that in hard way."
"traveler:JORJI_PASSPORTS","Thanks again!","Thanks again!"
"traveler:JORJI_PASSPORTS","Bah! Maybe you right.","Bah! Maybe you right."
"traveler:JORJI_PASSPORTS","Better to take little break.","Better to take little break."
"traveler:JORJI_PASSPORTS","Hey what the hell?","Hey what the hell?"
"traveler:JORJI_PASSPORTS","You take my passport!","You take my passport!"
"traveler:JORJI_PASSPORTS","You can see it was expensive!","You can see it was expensive!"
"traveler:JORJI_PASSPORTS","@You said I need real Obristan passports.","@You said I need real Obristan passports."
"traveler:JORJI_PASSPORTS","Man. Fine.","Man. Fine."
"traveler:JORJI_PASSPORTS","I get another but little unhappy about it.","I get another but little unhappy about it."
"traveler:JORJI_PASSPORTS","Memorize flyer and give back.","Memorize flyer and give back."
"traveler:JORJI_PASSPORTS","Hey you know what.","Hey you know what."
"traveler:JORJI_PASSPORTS","Take my passport.","Take my passport."
"traveler:JORJI_PASSPORTS","I get another one no problem.","I get another one no problem."
"traveler:JORJI_PASSPORTS","Now memorize flyer and give back if you finish reading.","Now memorize flyer and give back if you finish reading."
"traveler:JORJI_PASSPORTS","Do not want to get in trouble!","Do not want to get in trouble!"
"traveler:JORJI_PASSPORTS","Obristan really great this time of year.","Obristan really great this time of year."
"traveler:JORJI_PASSPORTS","Lots of snow.","Lots of snow."
"traveler:JORJI_PASSPORTS","Not sure where you get more passports for family.","Not sure where you get more passports for family."
"traveler:JORJI_PASSPORTS","But you smart guy.","But you smart guy."
"traveler:JORJI_PASSPORTS","Probably figure it out!","Probably figure it out!"
"traveler:JORJI_PASSPORTS","Good luck.","Good luck."
"traveler:JORJI_GOODBYE","Ho boy! I make big score!","Ho boy! I make big score!"
"traveler:JORJI_GOODBYE","Huge! You have no idea!","Huge! You have no idea!"
"traveler:JORJI_GOODBYE","Anyway. I just want to say thank you.","Anyway. I just want to say thank you."
"traveler:JORJI_GOODBYE","I wait in line just for that!","I wait in line just for that!"
"traveler:JORJI_GOODBYE","Maybe I quit now.","Maybe I quit now."
"traveler:JORJI_GOODBYE","Haha!","Haha!"
"traveler:BROTHEL0","Hello handsome.","Hello handsome."
"traveler:BROTHEL0","You look bored.","You look bored."
"traveler:BROTHEL0","If you want good time, come see us.","If you want good time, come see us."
"traveler:BROTHEL0","I will be around couple months.","I will be around couple months."
"traveler:BROTHEL0","Don't forget to visit.","Don't forget to visit."
"traveler:BROTHEL1","Hey there.","Hey there."
"traveler:BROTHEL1","I can make you happy any time.","I can make you happy any time."
"traveler:BROTHEL1","Come to Pink Vice. Ask for Ava.","Come to Pink Vice. Ask for Ava."
"traveler:BROTHEL2","Oh. Here.","Oh. Here."
"traveler:BROTHEL2","Please help me.","Please help me."
"traveler:BROTHEL3","Hello friend.","Hello friend."
"traveler:BROTHEL3","You come down, I give you good girl.","You come down, I give you good girl."
"traveler:BROTHEL3","That little bitch.","That little bitch."
"traveler:BROTHEL3","I break her in two.","I break her in two."
"traveler:BROTHEL3","@You are Dari Ludum?","@You are Dari Ludum?"
"traveler:BROTHEL3","Of course, it says on passport.","Of course, it says on passport."
"traveler:BROTHEL3","@One moment.","@One moment."
"traveler:BROTHEL3","What is this shit?","What is this shit?"
"traveler:BROTHEL3","Give my papers back.","Give my papers back."
"traveler:KILLERATHLETE","@You are Vince Lestrade?","@You are Vince Lestrade?"
"traveler:KILLERATHLETE","Damn.","Damn."
"traveler:KILLERATHLETE","Look, I did not kill her. I was set up.","Look, I did not kill her. I was set up."
"traveler:KILLERATHLETE","Do not believe the Republian lies.","Do not believe the Republian lies."
"traveler:KILLERATHLETE","Let me through.","Let me through."
"traveler:KILLERATHLETE","Shit.","Shit."
"traveler:HUSBAND_WIFE0","Today is beautiful day, my friend.","Today is beautiful day, my friend."
"traveler:HUSBAND_WIFE0","We finally become free from Antegrian tyranny!","We finally become free from Antegrian tyranny!"
"traveler:HUSBAND_WIFE0","Thank you so much!","Thank you so much!"
"traveler:HUSBAND_WIFE0","Please be kind to my wife, she is just after me.","Please be kind to my wife, she is just after me."
"traveler:HUSBAND_WIFE0","No! They will kill us!","No! They will kill us!"
"traveler:HUSBAND_WIFE0","Please, I beg you.","Please, I beg you."
"traveler:HUSBAND_WIFE0","Let my wife pass. She is coming to you next.","Let my wife pass. She is coming to you next."
"traveler:HUSBAND_WIFE1","Did you see my husband?","Did you see my husband?"
"traveler:HUSBAND_WIFE1","He made it through, yes?","He made it through, yes?"
"traveler:HUSBAND_WIFE1","@Where is your entry permit?","@Where is your entry permit?"
"traveler:HUSBAND_WIFE1","Please, I beg you.","Please, I beg you."
"traveler:HUSBAND_WIFE1","They would not give me permit. I have no choice.","They would not give me permit. I have no choice."
"traveler:HUSBAND_WIFE1","I will be killed if I return to Antegria.","I will be killed if I return to Antegria."
"traveler:HUSBAND_WIFE1","Thank you.","Thank you."
"traveler:HUSBAND_WIFE1","We will not forget.","We will not forget."
"traveler:HUSBAND_WIFE1","Why?","Why?"
"traveler:HUSBAND_WIFE1","You have doomed me.","You have doomed me."
"traveler:HUSBAND_WIFE1","Why did you turn my husband away?","Why did you turn my husband away?"
"traveler:HUSBAND_WIFE1","I will not leave him to die.","I will not leave him to die."
"traveler:HUSBAND_WIFE1","You have doomed us both.","You have doomed us both."
"traveler:HIRING_ENGINEERS_START","You see many people, yes?","You see many people, yes?"
"traveler:HIRING_ENGINEERS_START","I am looking for engineers.","I am looking for engineers."
"traveler:HIRING_ENGINEERS_START","Do me a favor.","Do me a favor."
"traveler:HIRING_ENGINEERS_START","Give my card to any engineers you meet.","Give my card to any engineers you meet."
"traveler:HIRING_ENGINEERS_START","I come back in few days.","I come back in few days."
"traveler:HIRING_ENGINEERS_START","Pay you 5 credits for each engineer that calls me.","Pay you 5 credits for each engineer that calls me."
"traveler:HIRING_ENGINEERS_START","You make a mistake but I let you fix it.","You make a mistake but I let you fix it."
"traveler:HIRING_ENGINEERS","What is this?","What is this?"
"traveler:HIRING_ENGINEERS","Oh. Huh. ; Huh. ; They are hiring?","Oh. Huh. ; Huh. ; They are hiring?"
"traveler:HIRING_ENGINEERS","I have already.","I have already."
"traveler:HIRING_ENGINEERS","Stop giving to me.","Stop giving to me."
"traveler:HIRING_ENGINEERS","Forget it, take them both. I don't want.","Forget it, take them both. I don't want."
"traveler:HIRING_ENGINEERS_END","Is good card, yes? ; Thanks ; These were not cheap you know. ;","Is good card, yes? ; Thanks ; These were not cheap you know. ;"
"traveler:HIRING_ENGINEERS_END","I am back.","I am back."
"traveler:HIRING_ENGINEERS_END","How many engineers did you meet?","How many engineers did you meet?"
"traveler:HIRING_ENGINEERS_END","I got no calls.","I got no calls."
"traveler:HIRING_ENGINEERS_END","You gave my cards to no one.","You gave my cards to no one."
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.","Thank you for nothing."
"traveler:HIRING_ENGINEERS_END","I get only one call.","I get only one call."
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.","I'm lucky that he is good lead."
"traveler:HIRING_ENGINEERS_END","Here is what I promised.","Here is what I promised."
"traveler:HIRING_ENGINEERS_END","I got two calls.","I got two calls."
"traveler:HIRING_ENGINEERS_END","One guy, he was good.","One guy, he was good."
"traveler:HIRING_ENGINEERS_END","Other one not so much.","Other one not so much."
"traveler:HIRING_ENGINEERS_END","Thanks anyways.","Thanks anyways."
"traveler:HIRING_ENGINEERS_END","I got three calls.","I got three calls."
"traveler:HIRING_ENGINEERS_END","Two guys were good.","Two guys were good."
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.","Last one was a fool. Didn't know basics."
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.","But is ok. I appreciate."
"traveler:HIRING_ENGINEERS_END","I got four calls.","I got four calls."
"traveler:HIRING_ENGINEERS_END","Three were civil engineers. Useless.","Three were civil engineers. Useless."
"traveler:HIRING_ENGINEERS_END","I need mechanicals. I told you.","I need mechanicals. I told you."
"traveler:HIRING_ENGINEERS_END","Anyway, is ok. Last guy very sharp.","Anyway, is ok. Last guy very sharp."
"traveler:HIRING_ENGINEERS_END","Thanks for the help.","Thanks for the help."
"traveler:FRIENDLY_GUARD0","Hello.","Hello."
"traveler:FRIENDLY_GUARD0","I heard that you are from Nirsk?","I heard that you are from Nirsk?"
"traveler:FRIENDLY_GUARD0","I grew up there but I have not been back in many years.","I grew up there but I have not been back in many years."
"traveler:FRIENDLY_GUARD0","@It is still a shit-hole. As before.","@It is still a shit-hole. As before."
"traveler:FRIENDLY_GUARD0","Haha, of course. This is what I remember too.","Haha, of course. This is what I remember too."
"traveler:FRIENDLY_GUARD0","I am Sergiu. It is good to meet you.","I am Sergiu. It is good to meet you."
"traveler:FRIENDLY_GUARD0","I will do my best to keep you safe.","I will do my best to keep you safe."
"traveler:FRIENDLY_GUARD1","Thank you for yesterday.","Thank you for yesterday."
"traveler:FRIENDLY_GUARD1","My aim is not like before.","My aim is not like before."
"traveler:FRIENDLY_GUARD2","There is more action at this checkpoint than in the war.","There is more action at this checkpoint than in the war."
"traveler:FRIENDLY_GUARD2","I fought in Kolechia for 5 years.","I fought in Kolechia for 5 years."
"traveler:FRIENDLY_GUARD2","If you think it is bad in Arstotzka, it is ten times worse in Kolechia.","If you think it is bad in Arstotzka, it is ten times worse in Kolechia."
"traveler:FRIENDLY_GUARD2","I do not blame them for coming here.","I do not blame them for coming here."
"traveler:FRIENDLY_GUARD2","Anyways, you are doing well. Keep it up.","Anyways, you are doing well. Keep it up."
"traveler:FRIENDLY_GUARD3","Friend, how are you?","Friend, how are you?"
"traveler:FRIENDLY_GUARD3","I have a small favor to ask.","I have a small favor to ask."
"traveler:FRIENDLY_GUARD3","During the war, I met a beautiful girl.","During the war, I met a beautiful girl."
"traveler:FRIENDLY_GUARD3","I think about her every moment.","I think about her every moment."
"traveler:FRIENDLY_GUARD3","Yesterday I receive word that she is finally coming here.","Yesterday I receive word that she is finally coming here."
"traveler:FRIENDLY_GUARD3","Please, let her pass and I will be in your debt.","Please, let her pass and I will be in your debt."
"traveler:FRIENDLY_GUARD3","Her name is Elisa.","Her name is Elisa."
"traveler:FRIENDLY_GUARD4","Thank you for everything.","Thank you for everything."
"traveler:FRIENDLY_GUARD4","Elisa is so happy here.","Elisa is so happy here."
"traveler:FRIENDLY_GUARD4","She says our first son will have your name.","She says our first son will have your name."
"traveler:FRIENDLY_GUARD4","This is fine but I told her I want a daughter first!","This is fine but I told her I want a daughter first!"
"traveler:FRIENDLY_GUARD4","I would like to show the locket to her.","I would like to show the locket to her."
"traveler:FRIENDLY_GUARD4","Do you still have it?","Do you still have it?"
"traveler:FRIENDLY_GUARD4","Ah, I missed not having this with me.","Ah, I missed not having this with me."
"traveler:FRIENDLY_GUARD4","It is not much, but we have found a small way to thank you.","It is not much, but we have found a small way to thank you."
"traveler:FRIENDLY_GUARD4","Elisa will deliver it to your home. I hope that it helps.","Elisa will deliver it to your home. I hope that it helps."
"traveler:FRIENDLY_GUARD4","Tomorrow I am transferred to another post.","Tomorrow I am transferred to another post."
"traveler:FRIENDLY_GUARD4","Stay safe my friend.","Stay safe my friend."
"traveler:FRIENDLY_GUARD4","Elisa did not come.","Elisa did not come."
"traveler:FRIENDLY_GUARD4","@She arrived, but her papers were not in order.","@She arrived, but her papers were not in order."
"traveler:FRIENDLY_GUARD4","@Tell her to try again with the correct documents.","@Tell her to try again with the correct documents."
"traveler:FRIENDLY_GUARD4","You know this is impossible.","You know this is impossible."
"traveler:FRIENDLY_GUARD4","If you have the locket, give it back to me.","If you have the locket, give it back to me."
"traveler:ELISA","Do you know Sergiu?","Do you know Sergiu?"
"traveler:ELISA","He said you were friend. That you would help.","He said you were friend. That you would help."
"traveler:ELISA","Please, my family is gone.","Please, my family is gone."
"traveler:ELISA","I have only Sergiu left.","I have only Sergiu left."
"traveler:ELISA","@You do not have the required documentation.","@You do not have the required documentation."
"traveler:ELISA","I tried for so long.","I tried for so long."
"traveler:ELISA","They would not allow me to leave.","They would not allow me to leave."
"traveler:ELISA","I am denied?","I am denied?"
"traveler:ELISA","I understand.","I understand."
"traveler:ELISA","Please, tell Sergiu I will always love him.","Please, tell Sergiu I will always love him."
"traveler:ELISA","We will be together in another life.","We will be together in another life."
"traveler:ELISA","Return this for him to remember me.","Return this for him to remember me."
"traveler:ELISA","Thank you so much.","Thank you so much."
"traveler:ELISA","I will never forget your kindness.","I will never forget your kindness."
"traveler:ELISA","@He is waiting for you.","@He is waiting for you."
"traveler:ELISA","My love.","My love."
"traveler:ELISA","I miss him.","I miss him."
"traveler:ELISA","@I am sorry. Sergiu was killed.","@I am sorry. Sergiu was killed."
"traveler:ELISA","My Sergiu.","My Sergiu."
"traveler:ELISA","Thank you for your kindness.","Thank you for your kindness."
"traveler:ELISA","There is nothing for me here any more.","There is nothing for me here any more."
"traveler:ELISA","Thank you.","Thank you."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained nobody.","You detained nobody."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained only one person.","You detained only one person."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained ${Game/NumDetains} people.","You detained ${Game/NumDetains} people."
"traveler:PRISON_GUARD0","Hello.","Hello."
"traveler:PRISON_GUARD0","@Are you the spy?","@Are you the spy?"
"traveler:PRISON_GUARD0","What? No.","What? No."
"traveler:PRISON_GUARD0","I am guard here. My name is Calensk.","I am guard here. My name is Calensk."
"traveler:PRISON_GUARD0","They told me I get good position, then send me here.","They told me I get good position, then send me here."
"traveler:PRISON_GUARD0","This is thanks I get.","This is thanks I get."
"traveler:PRISON_GUARD0","Now they pay me almost nothing.","Now they pay me almost nothing."
"traveler:PRISON_GUARD0","@They pay us all as much.","@They pay us all as much."
"traveler:PRISON_GUARD0","Yes. But look.","Yes. But look."
"traveler:PRISON_GUARD0","I get small bonus when you detain people.","I get small bonus when you detain people."
"traveler:PRISON_GUARD0","More you detain, more they give me for processing.","More you detain, more they give me for processing."
"traveler:PRISON_GUARD0","But this is not fair, right? You should get something too.","But this is not fair, right? You should get something too."
"traveler:PRISON_GUARD0","So I fix this problem.","So I fix this problem."
"traveler:PRISON_GUARD0","I give you 5 credits from my bonus for every two people you detain.","I give you 5 credits from my bonus for every two people you detain."
"traveler:PRISON_GUARD0","Sounds like good deal to me.","Sounds like good deal to me."
"traveler:PRISON_GUARD0","I give money to you after I get paid.","I give money to you after I get paid."
"traveler:PRISON_GUARD0","Let us make the best of this.","Let us make the best of this."
"traveler:PRISON_GUARD3","Here.","Here."
"traveler:PRISON_GUARD3","For bonus and selling bomb parts.","For bonus and selling bomb parts."
"traveler:PRISON_GUARD3","They move our station to prison.","They move our station to prison."
"traveler:PRISON_GUARD3","We still get bonus so keep detaining.~","We still get bonus so keep detaining.~"
"traveler:PRISON_GUARD3","I stop visiting you here.","I stop visiting you here."
"traveler:PRISON_GUARD3","I will drop off money at your home instead.","I will drop off money at your home instead."
"traveler:PRISON_GUARD3","Every other night.","Every other night."
"traveler:PRISON_GUARD_PAYOUT","What is going on?","What is going on?"
"traveler:PRISON_GUARD_PAYOUT","I am getting nothing because of you.","I am getting nothing because of you."
"traveler:PRISON_GUARD_PAYOUT","Detain more people and we will both benefit.","Detain more people and we will both benefit."
"traveler:PRISON_GUARD_PAYOUT","Good morning.","Good morning."
"traveler:PRISON_GUARD_PAYOUT","You are not detaining enough people.","You are not detaining enough people."
"traveler:PRISON_GUARD_PAYOUT","I have nothing to give you.","I have nothing to give you."
"traveler:PRISON_GUARD_PAYOUT","Detain more to share part of my bonus.","Detain more to share part of my bonus."
"traveler:PRISON_GUARD_PAYOUT","Bonus is good, they pay ok.","Bonus is good, they pay ok."
"traveler:PRISON_GUARD_PAYOUT","It is not much though.","It is not much though."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people and we do better.","Maybe you detain more people and we do better."
"traveler:PRISON_GUARD_PAYOUT","@This is not enough.","@This is not enough."
"traveler:PRISON_GUARD_PAYOUT","Yes, I know.","Yes, I know."
"traveler:PRISON_GUARD_PAYOUT","My wife sick now. Neighbor spreads the flu.","My wife sick now. Neighbor spreads the flu."
"traveler:PRISON_GUARD_PAYOUT","This is what is left after medicine.","This is what is left after medicine."
"traveler:PRISON_GUARD_PAYOUT","I give you rest next time.","I give you rest next time."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people to make it easier.","Maybe you detain more people to make it easier."
